Dataset,Vertices,Edges,MaxEigen,Runtime_sec,Memory_MB,AvgDegree,Density,Lambda
er_10k_sparse,10000,25210,1.000000,0.023000,0.50,5.0420,5.042504e-04,6.242529
er_500_dense,500,6150,1.000000,0.000000,0.06,24.6000,4.929860e-02,25.664538
er_500_sparse,500,1234,1.000000,0.000000,0.02,4.9360,9.891784e-03,6.053679
er_5k_dense,5000,37524,1.000000,0.006000,0.44,15.0096,3.002521e-03,16.095057
er_5k_sparse,5000,12405,1.000000,0.009000,0.25,4.9620,9.925985e-04,6.129185
ba_1k_m3,1000,2991,1.000000,0.002000,0.05,5.9820,5.987988e-03,13.486941
ba_1k_m5,1000,4975,1.000000,0.001000,0.07,9.9500,9.959960e-03,20.103668
ws_1k_k10_p03,1000,5000,1.000000,0.003000,0.07,10.0000,1.001001e-02,10.288413
ws_1k_k6_p01,1000,3000,1.000000,0.008000,0.05,6.0000,6.006006e-03,6.144251
er_5k_dense,5000,37524,1.000000,0.008000,0.44,15.0096,3.002521e-03,16.095057
er_5k_sparse,5000,12405,1.000000,0.009000,0.25,4.9620,9.925985e-04,6.129185
er_10k_dense,10000,50066,1.000000,0.017000,0.69,10.0132,1.001420e-03,11.126464
er_10k_sparse,10000,25210,1.000000,0.023000,0.50,5.0420,5.042504e-04,6.242529
ba_5k_m3,5000,14991,1.000000,0.016000,0.27,5.9964,1.199520e-03,18.371017
ba_5k_m5,5000,24975,1.000000,0.010000,0.34,9.9900,1.998400e-03,25.845479
ba_10k_m3,10000,29991,1.000000,0.046000,0.53,5.9982,5.998800e-04,19.096763
ws_5k_k6_p01,5000,15000,1.000000,0.053000,0.27,6.0000,1.200240e-03,6.151760
cit-DBLP,12592,49621,1.000000,0.030000,0.76,7.8814,6.259513e-04,42.818686
cit-HepTh,27769,352285,1.000000,0.175000,3.54,25.3725,9.137330e-04,111.251864
citeseer,3264,4536,1.000000,0.008000,0.13,2.7794,8.517964e-04,13.744249
cora,2708,5278,1.000000,0.010000,0.12,3.8981,1.440000e-03,14.390924
