Node,Betweenness,BridgingCoefficient,BridgingCentrality
2490,0.0011048488,0.2916666667,0.0003222476
2492,0.0068452515,0.3541666667,0.0024243599
1171,0.0018941474,0.4444444444,0.0008418433
2491,0.0037924320,0.3541666667,0.0013431530
1049,0.0024699928,0.3888888889,0.0009605527
1176,0.0007570961,0.3611111111,0.0002733958
1177,0.0017144148,0.3333333333,0.0005714716
1178,0.0011330907,0.3611111111,0.0004091716
584,0.0013285632,0.3333333333,0.0004428544
585,0.0031775352,0.3888888889,0.0012357082
586,0.0003314907,0.3888888889,0.0001289131
536,0.0008682987,0.3888888889,0.0003376717
515,0.0030622357,0.3333333333,0.0010207452
2434,0.0003106847,0.3333333333,0.0001035616
2435,0.0000949251,0.3333333333,0.0000316417
2436,0.0040234241,0.3333333333,0.0013411414
513,0.0018510979,0.3333333333,0.0006170326
514,0.0013037629,0.3333333333,0.0004345876
2296,0.0016308437,0.3888888889,0.0006342170
2297,0.0010146711,0.3888888889,0.0003945943
1788,0.0073185948,0.5000000000,0.0036592974
2855,0.0010328402,0.3055555556,0.0003155901
2856,0.0027023605,0.3333333333,0.0009007868
2857,0.0018130025,0.3611111111,0.0006546954
680,0.0010882571,0.4166666667,0.0004534404
3712,0.0053560506,0.4833333333,0.0025887578
3713,0.0016764480,0.6666666667,0.0011176320
3714,0.0018617251,0.3416666667,0.0006360894
3124,0.0037630063,0.2916666667,0.0010975435
3125,0.0061265539,0.2500000000,0.0015316385
3126,0.0004284880,0.5000000000,0.0002142440
1386,0.0009462230,0.2611111111,0.0002470693
1387,0.0011635267,0.3055555556,0.0003555220
1388,0.0005408788,0.3333333333,0.0001802929
4163,0.0005387545,0.3333333333,0.0001795848
4164,0.0039770339,0.3333333333,0.0013256780
4165,0.0009471749,0.2250000000,0.0002131143
1506,0.0017201611,0.3333333333,0.0005733870
1235,0.0042285363,0.3888888889,0.0016444308
4779,0.0032523482,0.3958333333,0.0012873878
4780,0.0016927113,0.2777777778,0.0004701976
4781,0.0013666751,0.2833333333,0.0003872246
4966,0.0008291645,0.3333333333,0.0002763882
4967,0.0002765850,0.4166666667,0.0001152438
4968,0.0003845281,0.4166666667,0.0001602200
4358,0.0020735278,0.4444444444,0.0009215679
4359,0.0014909953,0.5833333333,0.0008697472
3106,0.0017042953,0.3333333333,0.0005680984
1801,0.0032751063,0.2916666667,0.0009552394
1803,0.0022571328,0.5000000000,0.0011285664
3028,0.0001431541,0.3888888889,0.0000556710
3029,0.0006131617,0.3333333333,0.0002043872
3030,0.0059606576,0.2791666667,0.0016640169
140,0.0003166840,0.4444444444,0.0001407485
2796,0.0034711974,0.4166666667,0.0014463323
1037,0.0034008564,0.3888888889,0.0013225553
1038,0.0038662028,0.3888888889,0.0015035233
1039,0.0003456644,0.3333333333,0.0001152215
1690,0.0022797210,0.3888888889,0.0008865582
1692,0.0022451757,0.3333333333,0.0007483919
2898,0.0016037631,0.3166666667,0.0005078583
2899,0.0021547225,0.2888888889,0.0006224754
2900,0.0012893433,0.3333333333,0.0004297811
2667,0.0012116473,0.3333333333,0.0004038824
1994,0.0030289238,0.3444444444,0.0010432960
4607,0.0012538878,0.4166666667,0.0005224532
4609,0.0026552113,0.4166666667,0.0011063380
4611,0.0013904585,0.3333333333,0.0004634862
332,0.0007824555,0.5000000000,0.0003912278
333,0.0020231363,0.5000000000,0.0010115681
334,0.0020426443,0.4444444444,0.0009078419
940,0.0039832635,0.5555555556,0.0022129241
942,0.0007169871,0.5555555556,0.0003983262
2384,0.0046134187,0.3055555556,0.0014096557
2385,0.0042586339,0.3055555556,0.0013012493
2386,0.0011950705,0.3888888889,0.0004647496
2783,0.0029074369,0.3888888889,0.0011306699
2784,0.0058567365,0.3888888889,0.0022776198
2785,0.0044654775,0.3750000000,0.0016745541
2286,0.0025091842,0.3333333333,0.0008363947
2871,0.0012057918,0.2916666667,0.0003516893
2872,0.0006862757,0.4444444444,0.0003050114
2482,0.0028277957,0.3611111111,0.0010211485
2873,0.0036418952,0.3750000000,0.0013657107
2819,0.0068779791,0.3888888889,0.0026747696
2820,0.0067348193,0.3750000000,0.0025255572
2821,0.0023121351,0.4166666667,0.0009633896
529,0.0009359461,0.3333333333,0.0003119820
881,0.0043408122,0.3611111111,0.0015675155
882,0.0008937490,0.4166666667,0.0003723954
883,0.0003419569,0.4166666667,0.0001424821
276,0.0022521630,0.3333333333,0.0007507210
3632,0.0018609473,0.3055555556,0.0005686228
4063,0.0014600104,0.2888888889,0.0004217808
4064,0.0013682635,0.3333333333,0.0004560878
2756,0.0007712555,0.5416666667,0.0004177634
1978,0.0036175157,0.3333333333,0.0012058386
1979,0.0053433658,0.3750000000,0.0020037622
1980,0.0009376821,0.4166666667,0.0003907009
1134,0.0022345389,0.3333333333,0.0007448463
1135,0.0016737976,0.3333333333,0.0005579325
1136,0.0005840464,0.3333333333,0.0001946821
1138,0.0011020732,0.5555555556,0.0006122629
3210,0.0011202876,0.3333333333,0.0003734292
3211,0.0034643099,0.3333333333,0.0011547700
3212,0.0005676451,0.3750000000,0.0002128669
2246,0.0042512617,0.3055555556,0.0012989966
