Node_ID	Betweenness_Centrality
4428	74251.851562
9226	74217.039062
10156	74098.656250
6076	73996.765625
450	73937.023438
2196	73897.390625
8204	73808.046875
6549	73806.273438
1152	73736.585938
893	73577.890625
1555	73451.101562
6933	73417.140625
7740	73352.500000
8559	73207.718750
273	72909.296875
11140	72816.382812
5768	72764.640625
1116	72731.390625
497	72685.046875
471	72683.773438
8627	72661.054688
2407	72487.789062
4280	72445.656250
5469	72422.585938
6769	72143.843750
11106	72039.671875
1476	72007.632812
142	71934.218750
1772	71922.023438
8407	71823.257812
500	71802.210938
7384	71727.867188
3122	71687.398438
5944	71670.117188
6947	71668.265625
2379	71628.367188
1966	71601.210938
8910	71498.023438
1163	71402.359375
12064	71229.953125
3146	71131.968750
9529	71110.046875
5933	70933.039062
1060	70863.617188
6299	70833.531250
2748	70756.234375
1092	70714.085938
9394	70595.953125
638	70396.250000
8675	70303.054688
2713	70276.921875
3698	70267.476562
1627	70253.554688
7025	69964.414062
3053	69858.593750
5490	69811.617188
263	69771.593750
8845	69758.093750
5454	69481.250000
1451	69434.875000
155	69358.679688
2581	69350.250000
7889	69320.265625
1129	69241.195312
5034	69064.187500
2024	69032.539062
9251	68968.101562
6535	68870.781250
1172	68716.382812
6152	68683.125000
8357	68617.351562
10054	68551.351562
8599	68534.179688
11768	68477.117188
6818	68456.281250
3010	68452.164062
1052	68249.539062
185	67773.945312
1601	67714.437500
6606	67705.968750
11136	67584.984375
3484	67339.898438
6756	67260.039062
11716	67137.890625
1572	67043.929688
2050	66948.023438
7577	66890.679688
8403	66865.859375
6939	66819.929688
1082	66621.703125
8611	66616.585938
4187	66583.000000
3521	66582.570312
3017	66428.578125
2005	66345.554688
11867	66281.000000
9998	66216.375000
1851	66050.164062
9886	66046.695312
2124	66031.695312
10272	65866.992188
6703	65780.664062
4120	65755.312500
6235	65753.734375
8350	65741.773438
3000	65589.757812
3133	65566.320312
330	65565.507812
1792	65501.992188
10322	65360.148438
2645	65314.558594
9935	65295.312500
6395	65279.707031
3416	65068.050781
2611	64937.164062
5210	64936.617188
2051	64923.300781
2055	64910.589844
