Node_ID	Betweenness_Centrality	Rank
9043	68671.125000	708
2505	68653.757812	709
3832	68606.585938	710
4290	68541.726562	711
1389	68392.421875	712
2518	68191.718750	713
1551	67862.273438	714
1440	67770.742188	715
773	67768.234375	716
2005	67755.851562	717
1116	67564.640625	718
8	67559.492188	719
9083	67477.898438	720
11375	67456.398438	721
7688	67386.968750	722
4424	67374.320312	723
635	67343.343750	724
9371	67285.835938	725
4072	66888.687500	726
1653	66871.601562	727
979	66503.156250	728
606	66454.992188	729
3789	66393.210938	730
536	66354.890625	731
10014	66310.507812	732
8500	66077.375000	733
3146	66013.367188	734
2350	66003.406250	735
263	65979.789062	736
7610	65795.539062	737
1550	65787.367188	738
1798	65726.234375	739
6267	65521.140625	740
676	65433.132812	741
3057	65274.554688	742
701	65235.667969	743
183	65085.464844	744
2994	65053.632812	745
11352	64938.289062	746
4807	64873.875000	747
3904	64757.695312	748
2247	64426.527344	749
6784	64248.515625	750
729	64189.250000	751
663	64068.585938	752
6421	64013.289062	753
1540	63999.937500	754
950	63973.476562	755
418	63905.601562	756
2969	63877.722656	757
2581	63847.640625	758
1452	63782.359375	759
1727	63749.613281	760
9738	63719.742188	761
12089	63679.531250	762
1172	63663.039062	763
2932	63586.054688	764
4883	63574.457031	765
2450	63495.234375	766
3960	63385.765625	767
8816	63315.675781	768
2335	63288.960938	769
4608	63219.832031	770
10990	63119.679688	771
2386	63112.683594	772
311	63086.566406	773
177	62841.039062	774
1661	62761.894531	775
10375	62700.175781	776
9987	62691.273438	777
6459	62589.476562	778
10372	62446.871094	779
1060	62354.886719	780
4556	62329.449219	781
4817	62299.988281	782
121	62239.078125	783
813	62223.757812	784
1601	62192.269531	785
750	61778.109375	786
152	61757.316406	787
1821	61749.925781	788
2475	61713.523438	789
5362	61666.187500	790
2024	61633.492188	791
3040	61609.957031	792
11776	61500.394531	793
1825	61370.519531	794
6204	61288.203125	795
1169	60982.996094	796
3110	60922.660156	797
2623	60911.257812	798
8559	60833.472656	799
638	60645.031250	800
6483	60454.707031	801
8317	60442.824219	802
10004	60395.214844	803
4444	60289.460938	804
1230	60266.773438	805
3616	60189.132812	806
1245	59998.625000	807
531	59954.535156	808
3399	59793.050781	809
1092	59783.648438	810
10394	59761.621094	811
8118	59749.855469	812
519	59703.054688	813
1370	59455.722656	814
999	59333.195312	815
5490	59114.917969	816
1027	59034.843750	817
448	58926.707031	818
7231	58901.308594	819
1501	58845.410156	820
6323	58816.109375	821
5739	58806.285156	822
11350	58723.164062	823
10278	58557.562500	824
7777	58481.199219	825
9036	58362.972656	826
7850	58361.746094	827
8995	58229.761719	828
2867	58191.792969	829
2701	58185.449219	830
10311	58112.125000	831
1028	58106.226562	832
272	58072.863281	833
10361	57868.132812	834
5581	57827.468750	835
789	57825.101562	836
6864	57738.210938	837
7410	57655.898438	838
1393	57587.136719	839
893	57521.964844	840
11406	57429.343750	841
8365	57400.906250	842
11191	57350.343750	843
6337	57306.332031	844
260	57117.937500	845
2702	57090.093750	846
579	57038.742188	847
8423	56998.671875	848
4455	56922.960938	849
6429	56821.851562	850
3947	56680.984375	851
7250	56603.445312	852
11788	56536.660156	853
9713	56515.781250	854
10168	56509.132812	855
3705	56381.546875	856
3070	56297.093750	857
3810	56245.250000	858
11030	56242.906250	859
3820	56181.488281	860
7701	56079.093750	861
624	56060.875000	862
9733	56023.082031	863
679	56015.046875	864
1531	55982.988281	865
9951	55800.613281	866
